model_name,card_data,tags,likes,downloads
models/unitary/unbiased-toxic-roberta,license: apache-2.0,text-classification,,28331
models/protectai/unbiased-toxic-roberta-onnx,"base_model: unitary/unbiased-toxic-roberta
language:
- en
license: apache-2.0
pipeline_tag: token-classification
tags:
- toxicity
- bias
- roberta
inference: false",token-classification,,14951
models/protectai/distilroberta-bias-onnx,"base_model: valurank/distilroberta-bias
datasets:
- valurank/wikirev-bias
language: en
pipeline_tag: text-classification
tags:
- bias
- distilroberta
inference: false",text-classification,,5957
models/d4data/bias-detection-model,"language:
- en
tags:
- Text Classification
co2_eq_emissions: 0.319355
widget:
- text: Nevertheless Trump and other Republicans have tarred the protests as havens
    for terrorists intent on destroying property.
  example_title: Biased example 1
- text: Billie Eilish issues apology for mouthing an anti-Asian derogatory term in
    a resurfaced video.
  example_title: Biased example 2
- text: Christians should make clear that the perpetuation of objectionable vaccines
    and the lack of alternatives is a kind of coercion.
  example_title: Biased example 3
- text: There have been a protest by a group of people
  example_title: Non-Biased example 1
- text: While emphasizing he’s not singling out either party Cohen warned about the
    danger of normalizing white supremacist ideology.
  example_title: Non-Biased example 2",text-classification,,4738
models/valurank/distilroberta-bias,"language: en
license: other
datasets:
- valurank/wikirev-bias",text-classification,,3763
models/bucketresearch/politicalBiasBERT,"language:
- en
license: mit
library_name: transformers",text-classification,,1487
models/laiyer/unbiased-toxic-roberta-onnx,"language:
- en
license: apache-2.0
tags:
- toxicity
- bias
- roberta
inference: false
pipeline_tag: token-classification",token-classification,,890
models/newsmediabias/UnBIAS-Named-Entity-Recognition,"language:
- en
license: mit",token-classification,,349
models/ledigajobb/single_label_unbiased_relevant_profession,"license: mit
tags:
- generated_from_trainer
model-index:
- name: single_label_unbiased_relevant_profession
  results: []",text-classification,,277
models/premsa/political-bias-prediction-allsides-mDeBERTa,license: apache-2.0,text-classification,,275
models/laiyer/distilroberta-bias-onnx,"language: en
tags:
- bias
- distilroberta
datasets:
- valurank/wikirev-bias
pipeline_tag: text-classification
inference: false",text-classification,,181
models/anikulkar/DEI_strong_bias,license: mit,text-classification,,176
models/newsmediabias/UnBIAS-classification-bert,"language:
- en
license: openrail
datasets:
- newsmediabias/news-bias-full-data",text-classification,,163
models/newsmediabias/UnBIAS-NER,"license: mit
datasets:
- newsmediabias/BIAS-CONLL",token-classification,,133
models/amedvedev/bert-tiny-cognitive-bias,"language:
- en
license: bsd-3-clause
tags:
- psychology
- cognitive distortions
pipeline_tag: text-classification
widget:
- text: We have known each other since childhood.
  example_title: No Distortion
- text: I can't believe I forgot to do that I'm such an idiot.
  example_title: Personalization
- text: I feel like I'm disappointing others.
  example_title: Emotional Reasoning
- text: All doctors are arrogant and don't really care about their patients.
  example_title: Overgeneralizing
- text: They are too young to hear it.
  example_title: Labeling
- text: She must never make any mistakes in her work.
  example_title: Should Statements
- text: If I don't finish this project on time my boss will fire me.
  example_title: Catastrophizing
- text: If I keep working hard they will eventually give me a raise.
  example_title: Reward Fallacy",text-classification,,102
models/Tobias/bert-base-uncased_English_Hotel_sentiment,"language: eng
license: apache-2.0
tags:
- bert
widget:
- text: The hotel is very nicely located
  example_title: Example 1
- text: The reception staff were extremely helpful and very welcoming
  example_title: Example 2
- text: There is no balcony in the rooms on the mountain side
  example_title: Example 3
- text: A bit pricey
  example_title: Example 4",text-classification,,65
models/premsa/political-bias-prediction-allsides-DeBERTa,license: apache-2.0,text-classification,,62
models/joaopn/unbiased-toxic-roberta-onnx-fp16,"language:
- en
license: apache-2.0
tags:
- text-classification
- onnx
- fp16
- roberta
- toxicity
- bias
- multi-class-classification
- multi-label-classification
- optimum
inference: false",text-classification,,56
models/mediabiasgroup/magpie-babe-ft,"datasets:
- mediabiasgroup/BABE
license: cc-by-nc-sa-4.0
widget:
- text: Since then health care has turned out to be a very strong issue for Democrats
    who campaigned on the issue aggressively during the 2018 midterms and enjoyed
    a net gain of 40 seats in the U.S. House of Representatives.",text-classification,,55
models/mediabiasgroup/babe-v3-roberta-fully-trained,"license: cc-by-nc-sa-4.0
widget:
- text: Since then health care has turned out to be a very strong issue for Democrats
    who campaigned on the issue aggressively during the 2018 midterms and enjoyed
    a net gain of 40 seats in the U.S. House of Representatives.",text-classification,,49
models/Social-Media-Fairness/Classifier-Bias-SG,license: openrail,text-classification,,32
