repo_name,keypoints,Code,bias,objectionable,hallucination,mitigation
01-ai/Yi-6B,"1. The model have high diversity response, but will amplify issues including hallucination, inconsistent output.
2. The model supports commercial use, only after complete the form.
3. Authors use data compliance algorithm during training to ensure the model compliance.
4.THe data is complex, and language model is diverse, the model still can generate incorrect output.
5. The authors are not responsible for risks from model misuse, as well as associated data security concerns.","C1, C4, C19",,,brief mention,
1-800-BAD-CODE/punctuation_fullstop_truecase_english,"1. Training data in year 2012 was used to reduce bias, as data in 2021 is dominated by COVID discussion.",C127,,,,
51la5/roberta-large-NER,"1. Users both downstream and direct should be made aware of the risks, biases, and limitations of the model.
2. Make reference to literatures on biases and fairness issues.
3. Make an code example of bias generated by this model.","C7, C8, C9, C103",code example,,,
adept/fuyu-8b,"1. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
2. The model can reinforce or exacerbate social biases.","C11, C106",brief mention,,,
af1tang/personaGPT,false positive,,,,,
albert-base-v2,"1. The model's output can be biased, and code samples for gender biased prediction is shown.
2. The bias can affect fine-tuned version of this model.","C12, C104",code example,,,
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,false positive,,,,,
alexandrainst/scandi-nli-large,false positive,,,,,
amazon/MistralLite,"1. Before using the model, people need to perform assessment and take measures to ensure the model comply with their quality control standards, as well as rules, laws, regulations and licenses.","C33, C41, C128",,,,
amberoad/bert-multilingual-passage-reranking-msmarco,false positive,,,,,
anas-awadalla/mpt-1b-redpajama-200b,false positive,,,,,
annahaz/xlm-roberta-base-misogyny-sexism-tweets,1. The intended uses & limitations section is filled with TODO flag.,C26,,,,
apanc/russian-sensitive-topics,false positive,,,,,
asafaya/bert-base-arabic,false positive,,,,,
baichuan-inc/Baichuan-13B-Base,"1. The model is open to academic research, and can be used for commercial purpose after application.
2. Before using the model, people need to perform assessment and take measures to ensure the model comply with their quality control standards, as well as rules, laws, regulations and licenses.
3. They have tried their best to ensure compliance of the data, but risks still potentially exist. 
4. They take no responsibility for the model being misused.","C5, C19, C33",,,,
baichuan-inc/Baichuan-7B,"1. This model allows commercial use purposes.
2. It is considered irresponsible and harmful to use the model withou assessment and mitigation or risk, and the model should not be used to generate factually accurate contents.
3. This model is trained on public datasets, and could generate incorrect output or other biased, offensive or inappropriate contents although authors have made efforts to clean the data.","C5, C11, C70, C118, C119",brief mention,brief mention,,
baichuan-inc/Baichuan2-7B-Base,"1. The model is open to academic research, and can be used for commercial purpose after application.
2. Before using the model, people need to perform assessment and take measures to ensure the model comply with their quality control standards, as well as rules, laws, regulations and licenses.
3. They have tried their best to ensure compliance of the data, but risks still potentially exist. 
4. They take no responsibility for the model being misused.","C5, C19, C70",,,,
bennyguo/zero123-xl-diffusers,"1. This model can be used for research purposes of large model safe deployment, and understanding biases and limitations in generative models.
2. Creating certain types of images using this model which causing  hostile or alienating environments for people or sharing contents that violate license is considered malicious use.
3. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
4. This model might not perform well on commnunities and cultures that use other languages than English, because the model is primarily trained on English dataset.
5. The model should be used with the safety module, which checks input of NSFW contents.","C11, C21, C22, C70, C75, C103",brief mention,,,actionable
berkeley-nest/Starling-LM-7B-alpha,false positive,,,,,
bert-base-cased,"1. The model's output can be biased, and code samples for gender biased prediction is shown.
2. The bias can affect fine-tuned version of this model.","C12, C104",code example,,,
bert-base-multilingual-uncased,"1. The model's output can be biased, and code samples for gender biased prediction is shown.
2. The bias can affect fine-tuned version of this model.","C12, C104",code example,,,
bert-large-uncased,"1. The model's output can be biased, and code samples for gender biased prediction is shown.
2. The bias can affect fine-tuned version of this model.","C12, C104",code example,,,
bigcode/starcoder,"1. The training data consists of multiple programing languages, but the natual language within the programming language is mostly English.",C112,,,,
bigscience/bloom-560m,"1. Make reference to license for usage restrictions
2. Model is not recommended to use in several high-stakes domains, having impact on individuals, or generating correct contents.
3. provide a list of usage that is considered model misuse.
4. Provide source of enegery, carbon emission and electricity usage for training this model, but is empty.","C1, C24, C25, C26, C70, C71, C72",,,brief mention,
bigscience/bloomz-3b,false positive,,,,,
bigscience/T0_3B,"1. They exclude potentially harmful contents from the dataset for finetuning the model, but the model still contains bias.
2. Provide examples of model being biased and offensive.
3. They evaluate the models bias in gender by evaluate its capability in distinguish gender bias, and reproduce gender bias","C1, C5, C104, C118, C119",evaluated result,example,example,
camembert-base,"1. Make reference to literatures for bias and fairness issues.
2. Quality for some low-resource language in the dataset are lower, and the dataset could contain sensitive and personal information.","C7, C31, C112, C131",,,,
