Model,Repository,Matched Keywords First Set,Matched Keywords Second Set,Matched Keywords Total,Matched Libraries,Stars,Forks,Model Mentions in Code
facebook/fasttext-language-identification,NoerNova/fasttext-language-identification,0,0,0,0,0,0,1
cardiffnlp/twitter-roberta-base-sentiment-latest,rcruzin-ai/cardiffnlp-twitter-roberta-base-sentiment-latest,0,0,0,0,0,1,1
cardiffnlp/twitter-roberta-base-sentiment-latest,Chiuqyan/SimpleFineTuningTextClassifier_roberta,0,0,0,0,0,0,1
cardiffnlp/twitter-roberta-base-sentiment-latest,ibrahim-601/sentiment_analysis_api,0,0,0,0,0,0,1
distilbert-base-uncased-finetuned-sst-2-english,yliJeffrey/Sentiment_Analysis_Pipeline,0,0,0,0,1,0,1
google/vit-base-patch16-224,itizazhub/vision-transformer-google-vit-base-patch16-224--from-scratch-in-pytorch,0,0,0,0,0,0,1
google/vit-base-patch16-224,BrandonSmith710/imageClassificationApp,0,0,0,0,0,0,1
ProsusAI/finbert,Ronhill42/Sentence-sentiment-analysis,0,0,0,0,1,0,1
cardiffnlp/twitter-roberta-base-sentiment,rcruzin-ai/cardiffnlp-twitter-roberta-base-sentiment-latest,0,0,0,0,0,1,1
cardiffnlp/twitter-roberta-base-sentiment,Chiuqyan/SimpleFineTuningTextClassifier_roberta,0,0,0,0,0,0,1
cardiffnlp/twitter-roberta-base-sentiment,ibrahim-601/sentiment_analysis_api,0,0,0,0,0,0,1
cardiffnlp/twitter-roberta-base-sentiment,amhpeeler/Python-Sentiment-Analysis-Chat-App,0,0,0,0,0,0,1
Falconsai/nsfw_image_detection,lucataco/cog-nsfw_image_detection,0,0,0,0,14,4,1
Falconsai/nsfw_image_detection,lucataco/cog-nsfw_video_detection,0,0,0,0,2,0,1
Falconsai/nsfw_image_detection,daqiancode/nsfw,0,0,0,0,0,0,1
nlptown/bert-base-multilingual-uncased-sentiment,koioannis/Sentiment-Analysis-w-Hugginface,0,0,0,0,3,0,1
nlptown/bert-base-multilingual-uncased-sentiment,ShadowDominator/feedback-sentiment-analysis,0,0,0,0,0,0,1
microsoft/resnet-50,Blacksujit/AI-Powered-GIF-Generator,0,0,0,0,0,0,1
kredor/punctuate-all,SeveruS400/kredor-punctuate-all,0,0,0,0,0,0,1
j-hartmann/emotion-english-distilroberta-base,ShadowDominator/emotion-classification,0,0,0,0,0,0,1
unitary/toxic-bert,tcpiplab/AI-Toxic-Comment-Detector,0,0,0,0,0,0,1
dslim/bert-large-NER,AkhilJx/Named-Entity-Recognition-App-using-streamlit-and-dslim-bert-large-NER-hugging-face-model,0,0,0,0,0,0,1
siebert/sentiment-roberta-large-english,MohrezSheikh/A-Dynamic-Web-App-Using-Pre-trained-Transformer-Models-for-Sentiment-Analysis-and-Text-Summarization,0,0,0,0,3,1,1
siebert/sentiment-roberta-large-english,arthurxarmani/SimpleAISentimentAnalysis,1,1,1,0,1,0,1
nateraw/food,Chaitu5210/Food-Item-Identification-Using-Hugging-Face-Pretrained-Model,0,0,0,0,2,0,1
microsoft/swin-tiny-patch4-window7-224,laurebt/microsoft-swin-tiny-patch4-window7-224,0,0,0,0,0,2,1
roberta-base-openai-detector,SuwaidAslam/AI_Generated_Text_Checker_App,0,0,0,0,28,14,1
bhadresh-savani/bert-base-uncased-emotion,octapha/EmoAna,0,0,0,0,0,0,1
cross-encoder/stsb-roberta-large,exdatic/cross-encoder-stsb-roberta-large,0,0,0,0,0,0,1
ivanlau/language-detection-fine-tuned-on-xlm-roberta-base,ccoreilly/text2lang,0,0,0,0,0,1,1
KoalaAI/Text-Moderation,ddynamix/KoalaAI-Text-Moderation-Wrapper,0,0,0,0,0,0,1
christian-phu/bert-finetuned-japanese-sentiment,kokoboard-admin1/lyrics-analysis,0,0,0,0,0,0,1
sociocom/MedNERN-CR-JA,sociocom/MedNERN-CR-JA,0,0,0,0,1,0,1
microsoft/MiniLM-L12-H384-uncased,AlessioChiovelli/LPT-2,0,0,0,0,0,0,1
arpanghoshal/EmoRoBERTa,Inc0mple/emo-tele-bot,0,0,0,0,0,0,1
crypter70/IndoBERT-Sentiment-Analysis,crypter70/IndoBERT-WebApp-Sentiment-Analysis-using-Streamlit-for-Indonesian,0,0,0,0,1,0,1
hatmimoha/arabic-ner,hatmimoha/arabic-ner,0,0,0,0,16,4,1
amrul-hzz/watermark_detector,lucataco/cog-watermark-detector,0,0,0,0,4,0,1
ss108/legal-citation-bert,ss108/legal-citation-bert,1,0,0,0,0,0,1
adibvafa/CodonTransformer,Adibvafa/CodonTransformer,1,1,1,0,103,4,1
IlyaGusev/rubert_ext_sum_gazeta,andystep1/newssummarizer,0,0,0,0,0,0,1
tarekziade/pardonmyai,tarekziade/pardonmyai,0,0,0,0,1,0,1
sadickam/sdg-classification-bert,sadickam/sdg-classification-bert,1,0,0,0,4,0,1
remzicam/privacy_intent,remzicam/xai_privacy_intent,1,0,0,0,0,0,1
rafalosa/diabetic-retinopathy-224-procnorm-vit,titusrobin/diabetic-retinopathy-vit,1,0,0,0,1,0,1
serpapi/bert-base-local-results,serpapi/google-local-results-ai-server,0,0,0,0,13,1,1
Wikidepia/SB-AutoSegment,Wikidepia/SB-AutoSegment,0,0,0,0,7,0,1
Mozilla/docornot,mozilla/docornot,0,0,0,0,1,0,1
Shakhovak/samolet,shakhovak/samolet,0,0,0,0,0,1,1
theta/sentcore,Chunshan-Theta/fastapi-model-api-sentcore,0,0,0,0,1,1,1
Nafin/hate_speech,nafin-nm1913152/hate_speech_fastapi,1,0,0,0,0,0,1
Nafin/hate_speech,nafin-nm1913152/arabic_hate_speech_fastapi,1,0,0,0,0,0,1
wenh06/numbda-webnews,wenh06/numbda-webnews,1,0,0,0,0,0,1
Anshler/vietnamese-poem-classifier,Anshler/vietnamese-poem-classifier,0,0,0,0,5,0,1
